gene_id,gene_name,entrezid,gene_biotype
ENSG00000223972,DDX11L1,NA,transcribed_unprocessed_pseudogene
ENSG00000227232,WASH7P,NA,unprocessed_pseudogene
ENSG00000278267,MIR6859-1,NA,miRNA
ENSG00000243485,MIR1302-2HG,NA,lncRNA
ENSG00000284332,MIR1302-2,NA,miRNA
ENSG00000237613,FAM138A,NA,lncRNA
ENSG00000268020,OR4G4P,NA,unprocessed_pseudogene
ENSG00000240361,OR4G11P,NA,transcribed_unprocessed_pseudogene
ENSG00000186092,OR4F5,79501,protein_coding
ENSG00000238009,AL627309.1,NA,lncRNA
ENSG00000239945,AL627309.3,NA,lncRNA
ENSG00000233750,CICP27,NA,processed_pseudogene
ENSG00000268903,AL627309.6,NA,processed_pseudogene
ENSG00000269981,AL627309.7,NA,processed_pseudogene
ENSG00000239906,AL627309.2,NA,lncRNA
ENSG00000241860,AL627309.5,NA,lncRNA
ENSG00000222623,RNU6-1100P,NA,snRNA
ENSG00000241599,AL627309.4,NA,lncRNA
ENSG00000279928,FO538757.1,NA,unprocessed_pseudogene
ENSG00000279457,WASH9P,NA,unprocessed_pseudogene
ENSG00000228463,AP006222.1,NA,transcribed_processed_pseudogene
ENSG00000236679,RPL23AP24,NA,processed_pseudogene
ENSG00000236601,AL732372.1,NA,lncRNA
ENSG00000237094,AL732372.2,NA,transcribed_unprocessed_pseudogene
ENSG00000269732,WBP1LP7,NA,processed_pseudogene
ENSG00000284733,OR4F29,729759,protein_coding
ENSG00000233653,CICP7,NA,processed_pseudogene
ENSG00000250575,AL732372.3,NA,unprocessed_pseudogene
ENSG00000230021,AL669831.3,NA,transcribed_processed_pseudogene
ENSG00000235146,AC114498.1,NA,lncRNA
ENSG00000225972,MTND1P23,NA,unprocessed_pseudogene
ENSG00000225630,MTND2P28,NA,unprocessed_pseudogene
ENSG00000237973,MTCO1P12,NA,unprocessed_pseudogene
ENSG00000278791,AC114498.2,NA,miRNA
ENSG00000229344,MTCO2P12,NA,unprocessed_pseudogene
ENSG00000240409,MTATP8P1,NA,unprocessed_pseudogene
ENSG00000248527,MTATP6P1,NA,unprocessed_pseudogene
ENSG00000198744,MTCO3P12,NA,unprocessed_pseudogene
ENSG00000268663,WBP1LP6,NA,processed_pseudogene
