	KO1,KO2,KO3,KO4,WT1,WT2,WT3,WT4
ENSMUSG00000000001,5424.669818,5957.837616,5451.391925,4182.126698,7148.085575,8003.035486,5802.749811,6195.807517
ENSMUSG00000000003,0,0,0,0,0,0,0,0
ENSMUSG00000000028,689.5080425,724.0800127,618.829445,585.6318519,226.4739984,315.0801372,175.0782519,176.090144
ENSMUSG00000000031,0,8.581689039,0,6.705708227,11.32369992,19.47768121,9.848151669,0
ENSMUSG00000000037,282.2818161,217.7603594,210.8447853,278.2868914,150.9826656,195.9225581,113.8008637,81.63119258
ENSMUSG00000000049,0,33.25404503,5.271119633,12.29379842,12.26734158,0,0,1.166159894
ENSMUSG00000000056,1226.30625,1044.820641,922.4459359,571.1028174,1056.878659,976.1755525,806.4541978,962.0819126
ENSMUSG00000000058,13304.26592,13592.32273,12616.95195,10774.9555,10650.88342,11276.43168,9202.550615,9251.14644
ENSMUSG00000000078,25266.53632,24584.39368,25038.87248,26603.77977,8929.681029,9167.113375,15372.96476,13556.60877
ENSMUSG00000000085,1609.23773,1764.609809,1540.221157,1148.911343,983.2746098,955.5521253,757.2134394,911.9370372
ENSMUSG00000000088,3987.809098,4370.225143,3270.202621,3590.906756,4835.219866,6221.400528,5168.091148,5297.864399
ENSMUSG00000000093,4.627570755,0,2.108447853,22.35236076,0,0,3.282717223,22.15703799
ENSMUSG00000000094,0,0,0,17.88188861,0,1.145745954,2.188478149,0
ENSMUSG00000000103,0,0,0,21.23474272,0,0,0,0
ENSMUSG00000000120,232.5354304,248.8689821,257.2306381,184.4069763,138.715324,119.1575792,119.2720591,95.62511131
ENSMUSG00000000125,0,3.21813339,9.48801534,31.29330506,0,0,7.65967352,0
ENSMUSG00000000126,725.3717159,777.7155692,785.3968254,467.1643398,606.7615874,421.6345109,569.0043186,459.4669983
ENSMUSG00000000127,1118.71523,1175.691398,804.3728561,815.8611677,986.1055347,984.1957741,1165.364614,1086.861021
ENSMUSG00000000131,2894.545507,2501.562355,2267.635666,1595.958558,2395.906175,2445.021865,2231.153473,1945.154703
ENSMUSG00000000134,1214.737323,892.4956601,629.3716842,672.8060588,734.1532115,1232.822646,991.3806013,1005.229829
ENSMUSG00000000142,40.49124411,28.96320051,60.09076382,45.82233955,53.78757462,38.95536242,24.07325964,16.32623852
ENSMUSG00000000148,460.4432901,372.2307621,389.008629,411.283438,381.2312307,464.0271112,211.1881413,472.2947571
ENSMUSG00000000149,1102.518732,991.185084,986.7535954,717.5107803,1098.398892,958.9893632,983.7209278,1053.042384
ENSMUSG00000000154,785.5301357,679.0261452,573.4978161,491.7519367,586.0014709,670.2613829,756.1192004,760.3362509
ENSMUSG00000000157,0,0,5.271119633,16.76427057,0,0,0,0
ENSMUSG00000000159,0,0,1.054223927,4.470472152,0.94364166,0,3.282717223,0
ENSMUSG00000000167,76.35491746,47.19928972,81.17524236,87.17420696,72.66040782,12.60320549,54.71195372,50.14487544
ENSMUSG00000000168,2154.134186,2813.721294,2160.104826,1883.186394,2734.673531,2137.961949,2537.540413,2243.691636
ENSMUSG00000000171,4404.290466,4591.203636,3448.366464,3607.671026,4485.12881,4764.011675,3270.680593,4065.233391
ENSMUSG00000000182,1.156892689,0,2.108447853,1.117618038,0,0,0,0
ENSMUSG00000000183,0,0,2.108447853,0,0,0,1.094239074,1.166159894
ENSMUSG00000000184,13239.47993,14618.90728,13368.61361,13548.88347,18257.57884,17858.74218,10963.18129,9591.665129
ENSMUSG00000000194,1235.561392,1411.687847,1135.399169,1200.321773,951.1907933,1325.628068,1380.929712,1416.884271
ENSMUSG00000000197,0,0,1.054223927,4.470472152,0,0,1.094239074,1.166159894
ENSMUSG00000000202,0,0,3.16267178,20.11712468,0,0,0,0
ENSMUSG00000000204,1.156892689,12.87253356,45.33162885,39.11663133,21.70375818,72.18199508,4.376956297,87.46199205
ENSMUSG00000000214,0,0,0,6.705708227,0,0,1.094239074,0
ENSMUSG00000000215,0,0,3.16267178,8.940944303,0,0,0,4.664639576
ENSMUSG00000000216,26.60853184,2.14542226,18.97603068,10.05856234,0,33.22663265,0,2.332319788
